facility_id,name,mineral_type,category,latitude,longitude,state,district,lease_area_ha,owner,ownership_type,mining_method,mineral_class,source,location_precision
38KAR07027,MATHOD 2342,Limestone,mining,13.755820117225568,76.4349824025951,KARNATAKA,Chitradurga,115.159721973,"M/s The RAMCO Cements LTD,",Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR10019,ITAGI LST MINE,Limestone,mining,17.11904688153252,77.13894616736131,KARNATAKA,Gulbarga,522.971798916,"M/S ORIENT CEMENT LIMITED,",Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR07015,JOHN,Iron Ore,mining,14.22962829113139,76.20137590570053,KARNATAKA,Chitradurga,43.1451620994,"ERamamurthy,",Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR26001,Halki Ninganpur,Limestone,mining,16.22515062648927,75.25353950402493,KARNATAKA,Bagalkot,615.525565144,Mysore Minerals Ltd,SPSU,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
39KAR14005,Hullahalli,Magnesite,mining,12.088150836964154,76.5526683725603,KARNATAKA,Mysore,36.3011585191,"M/s Mysore Minerals Ltd,",SPSU,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
39KAR14013,TALOORU,Magnesite,mining,12.202490408987767,76.60735442873315,KARNATAKA,Mysore,12.2272770708,"NRAJASHEKAR,",Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR02038,Yadwad Limestone Mine,Limestone,mining,16.18630817338437,75.18596130474063,KARNATAKA,Belgaum,798.01,Dalmia Cement (Bharat) Ltd,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR02006,Guttigoli,Limestone,mining,16.1413657475886,75.27710316190448,KARNATAKA,Belgaum,77.9799991378,Pulakeshi Cements,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR03092,KUMARASWAMY,Iron Ore,mining,15.01107155428482,76.59647177672115,KARNATAKA,Bellary,644.094580482,"M/s NMDC LTD,",CPSU,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR26042,Thimmapur,Limestone,mining,16.20768718919175,75.32157352299798,KARNATAKA,Bagalkot,4.98100158029,sesha sai mining company,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR26052,Lokapur,Limestone,mining,16.160701925278584,75.3829508333776,KARNATAKA,Bagalkot,4.43757769033,Venkappa Ramappa B Patil,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
33KAR14004,KARIGALA ML 2286,Kyanite,mining,12.165290528164581,76.45467962172589,KARNATAKA,Mysore,11.991725274,"Mohammed Akram,",Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38APR23001,KARANKOTE LIMESTONE MINE,Limestone,mining,17.32538679628366,77.45236325097673,TELANGANA,VIKARABAD,613.587,M/s CEMENT CORPORATION OF INDIA LIMITED,PSU,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
37KAR15027,Madageri,Lime Shell,mining,14.37626391253964,74.42773572553553,KARNATAKA,Uttara Kannada,78.0099911679,KS. Mohan Hegde,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
28KAR14002,PURADAKATTE ML 2158,Graphite,mining,12.005414503179685,76.4426598535047,KARNATAKA,Mysore,160.242201283,"M/s DURGA MINING,",Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
37KAR15012,Kinnar-Kadwad,Lime Shell,mining,14.848959265225076,74.1710126466521,KARNATAKA,Uttara Kannada,42.0748478542,"Sagar Minerals,C/o UM.Abbas",Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR03017,VYASANAKERE,Iron Ore,mining,15.203968161251378,76.39483102043484,KARNATAKA,Bellary,360.787582697,"M/s MSPL LTD,",Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR03190,Jaisingpur Iron ore Mine,Iron Ore,mining,15.183291564666655,76.47517932066668,KARNATAKA,Ballari,56.0,M/s MSPL LTD.,Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR03192,Kirloskar Bharath Iron Ore Mine,Iron Ore,mining,15.032429240555551,76.59233562944445,KARNATAKA,Ballari,24.47,M/s Kirloskar Ferrous Industries Ltd.,Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR03189,Dharmapura Iron ore Mine,Iron Ore,mining,15.142766050666747,76.45354832600012,KARNATAKA,Ballari,43.58,M/s JSW STTEL Limited,Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR03184,Bhadra Iron ore Mine,Iron Ore,mining,15.10307170900376,76.63229872801932,KARNATAKA,Ballari,130.53,M/s JSW STTEL Limited,Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR07035,Bhomman Iron ore Mine,Iron Ore,mining,14.21067360999291,76.2228559031837,KARNATAKA,CHITRADURGA,93.6,M/s JSW STTEL Limited,Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR03191,Janikunta Iron Ore Mine,Iron Ore,mining,15.113562380099813,76.78540492036085,KARNATAKA,Ballari,44.42,M/s Hothur Ispat Pvt. Ltd.,Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR03187,KaradiKola Iro Ore Mine,Iron Ore,mining,15.17425555612906,76.4882444432665,KARNATAKA,Ballari,86.12,M/s MSPL LTD.,Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
