name,category,mineral_type,latitude,longitude,status,capacity,owner,source,location_precision,source_url_or_reference
Gare Palma IV 2 & 3 OC Mine,mining,Subbituminous,22.13081284,83.5203883717038,Operating,4.5,South Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Gare_Palma_IV_2_%26_3_OC_Mine
Gare Palma IV 4 Coal Mine,mining,Subbituminous,22.15,83.5415,Operating,0.9,Hindalco Industries Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Gare_Palma_IV_4_Coal_Mine
Gare Palma IV 6 Coal Mine,mining,Subbituminous,22.11866,83.53358,Operating,4.0,Jindal Steel & Power Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Gare_Palma_IV_6_Coal_Mine
Gare Palma IV 7 Coal Mine,mining,Lignite,22.11866,83.53358,Operating,1.8,Sarda Energy & Minerals Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Gare_Palma_IV_7_Coal_Mine
Gare Palma IV 8 Coal Mine,mining,Lignite,22.11866,83.53358,Operating,0.9,Ambujia Cements Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Gare_Palma_IV_8_Coal_Mine
Garjanbahal Coal Mine,mining,Subbituminous,22.034519,83.74266,Operating,20.21,Mahanadi Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Garjanbahal_coal_mine
Gayatri Coal Mine,mining,Subbituminous,23.1097,82.9051,Operating,0.6,South Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Gayatri_coal_mine
Gevra Coal Mine,mining,Subbituminous,22.336312,82.545748,Operating,70.0,South Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Gevra_coal_mine
Ghogha-Surka Lignite Mine,mining,Lignite,21.66707821,72.2052325421232,Operating,2.25,Gujarat Power Corporation Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Ghogha-Surka_Lignite_Mine
Ghonsa Coal Mine,mining,Subbituminous,19.9647,78.8326,Operating,0.6,Western Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Ghonsa_Coal_Mine
