name,category,mineral_type,latitude,longitude,status,capacity,owner,source,location_precision,source_url_or_reference
JSW Steel Jajang Mine,mining,iron_ore,21.931082,85.427162,operating,12800,JSW Steel [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/JSW_Steel_Jajang_Mine
JSW Steel Nandi Mine,mining,iron_ore,15.015044,76.573073,operating,800,JSW Steel [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/JSW_Steel_Nandi_Mine
JSW Steel Narayana Mine,mining,iron_ore,14.992565,76.656198,operating,1112,JSW Steel [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/JSW_Steel_Narayana_Mine
JSW Steel Narayanposhi Mine,mining,iron_ore,21.927954,85.242293,operating,10000,JSW Steel [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/JSW_Steel_Narayanposhi_Mine
JSW Steel Nuagaon Mine,mining,iron_ore,21.972214,85.300502,operating,12000,JSW Steel [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/JSW_Steel_Nuagaon_Mine
JSW Steel Rama Mine,mining,iron_ore,15.121743,76.468844,operating,940,JSW Steel [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/JSW_Steel_Rama_Mine
JSW Steel Tunga Mine,mining,iron_ore,15.105902,76.634617,operating,300,JSW Steel [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/JSW_Steel_Tunga_Mine
JSW Steel Ubbalagundi Mine,mining,iron_ore,15.059815,76.646348,operating,340,JSW Steel [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/JSW_Steel_Ubbalagundi_Mine
K Rajamohan Reddy Chabali Mine,mining,iron_ore,14.479929,78.597433,operating,500,natural person(s) [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/K_Rajamohan_Reddy_Chabali_Mine
Kartikeyas Sandur Mine,mining,iron_ore,15.014661,76.559658,operating,319,Kartikeyas Manganese and Iron Ores [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Kartikeyas_Sandur_Mine
Kashvi Jaribahal Mine,mining,iron_ore,21.919482,85.412768,operating,998,Kashvi International Pvt Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Kashvi_Jaribahal_Mine
KCCL Putulpani Mine,mining,iron_ore,21.658659,85.495415,operating,1000,Kalinga Commercial Corporation Limited [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/KCCL_Putulpani_Mine
KCP Nayagarh Mine,mining,iron_ore,21.862418,85.420102,operating,300,KCP Iron Private Limited [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/KCP_Nayagarh_Mine
Kedia Lohakana Mine,mining,iron_ore,27.479277,76.097649,operating,30,Kedia Minerals [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Kedia_Lohakana_Mine
Khatri Minerals Jhansi Mine,mining,iron_ore,23.367923,80.082637,operating,20,Khatri Minerals and Mining Company [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Khatri_Minerals_Jhansi_Mine
Kirloskar Bharath Sandur Mine,mining,iron_ore,15.032681,76.593524,operating,124,Kirloskar Ferrous Industries Limited [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Kirloskar_Bharath_Sandur_Mine
Kirloskar Chitradurga Mine,mining,iron_ore,13.92395,76.41289,operating,476,Kirloskar Ferrous Industries Limited [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Kirloskar_Chitradurga_Mine
